@RELATION Sapfile1

@ATTRIBUTE ge  {M,F}
@ATTRIBUTE cst {G,ST,SC,OBC,MOBC}
@ATTRIBUTE tnp {Best,Vg,Good,Pass,Fail}
@ATTRIBUTE twp {Best,Vg,Good,Pass,Fail}
@ATTRIBUTE iap {Best,Vg,Good,Pass,Fail}
@ATTRIBUTE esp {Best,Vg,Good,Pass,Fail}
@ATTRIBUTE arr {Y,N}
@ATTRIBUTE ms  {Married,Unmarried}
@ATTRIBUTE ls  {T,V}
@ATTRIBUTE as  {Free,Paid}
@ATTRIBUTE fmi {Vh,High,Am,Medium,Low}
@ATTRIBUTE fs  {Large,Average,Small}
@ATTRIBUTE fq  {Il,Um,10,12,Degree,Pg}
@ATTRIBUTE mq  {Il,Um,10,12,Degree,Pg}
@ATTRIBUTE fo  {Service,Business,Retired,Farmer,Others}
@ATTRIBUTE mo  {Service,Business,Retired,Housewife,Others}
@ATTRIBUTE nf  {Large,Average,Small}
@ATTRIBUTE sh  {Good,Average,Poor}
@ATTRIBUTE ss  {Govt,Private}
@ATTRIBUTE me  {Eng,Asm,Hin,Ben}
@ATTRIBUTE tt  {Large,Average,Small}
@ATTRIBUTE atd {Good,Average,Poor}


@DATA
F,G,Good,Good,Vg,Good,Y,Unmarried,V,Paid,Medium,Average,Um,10,Farmer,Housewife,Large,Poor,Govt,Asm,Small,Good
M,OBC,Vg,Vg,Vg,Vg,N,Unmarried,V,Paid,Low,Average,Um,Il,Service,Service,Small,Poor,Govt,Asm,Average,Average
F,OBC,Good,Good,Vg,Good,N,Unmarried,V,Paid,Am,Average,12,10,Service,Housewife,Average,Average,Govt,Asm,Large,Good
M,MOBC,Pass,Good,Vg,Good,N,Unmarried,V,Paid,Medium,Small,12,Um,Business,Business,Large,Poor,Govt,Asm,Average,Average
M,G,Good,Good,Vg,Vg,N,Unmarried,V,Paid,Am,Average,10,12,Service,Housewife,Large,Poor,Private,Asm,Small,Good
M,OBC,Vg,Good,Vg,Vg,N,Unmarried,V,Paid,Medium,Average,10,Um,Farmer,Housewife,Small,Poor,Private,Eng,Average,Average
F,OBC,Good,Vg,Good,Good,N,Unmarried,V,Paid,High,Average,12,Degree,Service,Service,Average,Poor,Govt,Asm,Small,Good
F,OBC,Good,Good,Good,Good,N,Unmarried,V,Paid,Medium,Small,Il,Um,Farmer,Housewife,Small,Poor,Private,Asm,Average,Good
F,MOBC,Vg,Good,Good,Vg,Y,Unmarried,V,Paid,Low,Small,12,10,Others,Housewife,Small,Good,Govt,Asm,Average,Good
F,OBC,Vg,Vg,Good,Vg,Y,Unmarried,V,Paid,Low,Small,Degree,Degree,Others,Housewife,Large,Average,Govt,Asm,Average,Good
M,ST,Vg,Vg,Good,Vg,N,Unmarried,V,Paid,Vh,Small,Pg,Pg,Retired,Retired,Large,Good,Private,Eng,Large,Good
F,OBC,Vg,Vg,Good,Vg,N,Unmarried,V,Paid,Medium,Average,Degree,12,Service,Housewife,Large,Average,Govt,Eng,Average,Good
M,OBC,Good,Good,Good,Good,Y,Unmarried,V,Paid,Medium,Small,Degree,10,Service,Housewife,Large,Poor,Private,Eng,Average,Good
M,OBC,Good,Good,Pass,Vg,N,Unmarried,V,Paid,Medium,Small,Il,Il,Others,Housewife,Large,Good,Govt,Asm,Average,Good
F,G,Vg,Vg,Good,Vg,N,Unmarried,V,Paid,Medium,Small,Degree,10,Business,Housewife,Large,Poor,Govt,Eng,Small,Good
F,ST,Vg,Good,Good,Vg,Y,Unmarried,V,Paid,Medium,Small,10,10,Others,Housewife,Large,Average,Govt,Asm,Average,Good
F,ST,Vg,Vg,Vg,Vg,N,Unmarried,V,Paid,Medium,Small,Pg,12,Business,Housewife,Large,Poor,Private,Eng,Small,Good
M,OBC,Good,Good,Vg,Good,Y,Unmarried,V,Paid,Low,Small,12,12,Farmer,Housewife,Large,Average,Govt,Eng,Small,Good
M,ST,Good,Good,Vg,Good,Y,Unmarried,V,Paid,Medium,Average,10,12,Farmer,Housewife,Large,Average,Govt,Eng,Small,Good
